Previous_Location,Locations (city/country),Budget (USD),Weather_condition,Month,Distance (km),Gender,Accommodation,Languages,Travel_Companions
"Kuala Lumpur, Malaysia","Mexico City, Mexico",800-1500 USD,Rainy,July,16627.22,Male,GuestHouse,['Spanish'],Friends
"Paris, France","Berlin, Germany",1500-3000 USD,Snowy,December,877.46,Female,Hotel,"['German', 'English']",Friends
"London, UK","Buenos Aires, Argentina",800-1500 USD,Rainy,February,11127.8,Female,Hotel,['Spanish'],Family
"Mumbai, India","Rio de Janeiro, Brazil",500-800 USD,Sunny,December,13413.71,Male,GuestHouse,['Portuguese'],Friends
"Cape Town, South Africa","Amsterdam, Netherlands",1500-3000 USD,Rainy,November,9684.89,Female,Airbnb,"['Dutch', 'English']",Friends
"Vienna, Austria","New York, USA",1500-3000 USD,Rainy,May,6796.33,Male,Airbnb,"['English', 'Spanish']",Friends
"Paris, France","Nairobi, Kenya",800-1500 USD,Humid,March,6483.09,Female,GuestHouse,"['Swahili', 'English']",Couple
"Budapest, Hungary","Paris, France",1500-3000 USD,Sunny,July,1244.01,Female,GuestHouse,['French'],Couple
"Barcelona, Spain","Mumbai, India",800-1500 USD,Dry,November,7031.08,Female,Hotel,"['Hindi', 'English']",Friends
"Cape Town, South Africa","Vienna, Austria",1500-3000 USD,Cold,January,9135.06,Male,Hotel,['German'],Friends
"Moscow, Russia","New York, USA",1500-3000 USD,Rainy,May,7510.26,Female,Airbnb,"['English', 'Spanish']",Colleagues
Singapore,"Istanbul, Turkey",800-1500 USD,Rainy,November,8641.65,Male,GuestHouse,['Turkish'],Couple
"Dubai, UAE","Paris, France",1500-3000 USD,Cloudy,November,5242.95,Male,Airbnb,['French'],Family
"Budapest, Hungary","Sydney, Australia",1500-3000 USD,Cloudy,July,15783.99,Male,GuestHouse,['English'],Family
"Santiago, Chile","Amsterdam, Netherlands",1500-3000 USD,Sunny,May,12012.87,Male,Airbnb,"['Dutch', 'English']",Friends
"Berlin, Germany","Mumbai, India",800-1500 USD,Humid,July,6286.15,Female,GuestHouse,"['Hindi', 'English']",Family
"Budapest, Hungary","Mumbai, India",800-1500 USD,Dry,November,5765.44,Female,GuestHouse,"['Hindi', 'English']",Friends
"Berlin, Germany","Vienna, Austria",1500-3000 USD,Cold,December,523.54,Male,GuestHouse,['German'],Couple
"Santiago, Chile","Bangkok, Thailand",500-800 USD,Rainy,October,17650.5,Male,Airbnb,"['Thai', 'English']",Couple
"Buenos Aires, Argentina","London, UK",1500-3000 USD,Cloudy,November,11127.8,Male,GuestHouse,['English'],Couple
"Amsterdam, Netherlands","Tokyo, Japan",1500-3000 USD,Sunny,June,9288.02,Female,GuestHouse,['Japanese'],Solo
"Rome, Italy","Sydney, Australia",1500-3000 USD,Sunny,January,16321.06,Female,GuestHouse,['English'],Family
"Buenos Aires, Argentina","London, UK",1500-3000 USD,Cloudy,December,11127.8,Male,Hotel,['English'],Colleagues
"Tokyo, Japan","New York, USA",1500-3000 USD,Cloudy,November,10851.73,Male,Airbnb,"['English', 'Spanish']",Family
"Tokyo, Japan",Singapore,1500-3000 USD,Sunny,February,5311.22,Male,GuestHouse,"['English', 'Mandarin']",Friends
"Moscow, Russia","Bangkok, Thailand",500-800 USD,Humid,June,7064.46,Male,Hotel,"['Thai', 'English']",Couple
"Cairo, Egypt",Singapore,1500-3000 USD,Rainy,November,8260.25,Male,GuestHouse,"['English', 'Mandarin']",Colleagues
"Paris, France","Santiago, Chile",800-1500 USD,Cold,July,11648.82,Male,GuestHouse,['Spanish'],Couple
"Cape Town, South Africa","Istanbul, Turkey",800-1500 USD,Sunny,June,8401.97,Male,GuestHouse,['Turkish'],Family
"Tokyo, Japan","Paris, France",1500-3000 USD,Cloudy,December,9711.72,Male,GuestHouse,['French'],Family
"Dubai, UAE","Santiago, Chile",800-1500 USD,Rainy,April,14758.23,Male,GuestHouse,['Spanish'],Couple
"Paris, France","Santiago, Chile",800-1500 USD,Sunny,December,11648.82,Male,Hotel,['Spanish'],Friends
"Kuala Lumpur, Malaysia","Budapest, Hungary",800-1500 USD,Sunny,July,9198.09,Male,Hotel,['Hungarian'],Family
"Rio de Janeiro, Brazil","New York, USA",1500-3000 USD,Snowy,February,7759.04,Female,GuestHouse,"['English', 'Spanish']",Family
"Nairobi, Kenya","Kuala Lumpur, Malaysia",800-1500 USD,Rainy,September,7227.06,Male,Hotel,"['Malay', 'English']",Friends
"New York, USA","Santiago, Chile",800-1500 USD,Rainy,April,8253.5,Female,GuestHouse,['Spanish'],Couple
"Barcelona, Spain","Tokyo, Japan",1500-3000 USD,Rainy,June,10413.14,Male,GuestHouse,['Japanese'],Couple
"Dubai, UAE","Lisbon, Portugal",800-1500 USD,Sunny,July,6131.54,Male,GuestHouse,['Portuguese'],Family
"New York, USA","Mexico City, Mexico",800-1500 USD,Rainy,July,3359.38,Male,GuestHouse,['Spanish'],Couple
"Dubai, UAE","Bangkok, Thailand",500-800 USD,Sunny,November,4883.14,Female,GuestHouse,"['Thai', 'English']",Family
"Santiago, Chile","Rio de Janeiro, Brazil",500-800 USD,Sunny,November,2927.08,Male,Hotel,['Portuguese'],Solo
"Sydney, Australia","Moscow, Russia",800-1500 USD,Rainy,August,14496.16,Female,GuestHouse,['Russian'],Family
"Buenos Aires, Argentina","Mexico City, Mexico",800-1500 USD,Sunny,March,7392.18,Female,Hotel,['Spanish'],Friends
"Lisbon, Portugal","Mexico City, Mexico",800-1500 USD,Cold,January,8671.35,Male,GuestHouse,['Spanish'],Solo
"New York, USA","Mexico City, Mexico",800-1500 USD,Cold,January,3359.38,Male,Airbnb,['Spanish'],Solo
"Rome, Italy","London, UK",1500-3000 USD,Sunny,July,1433.78,Female,Hotel,['English'],Couple
"Mexico City, Mexico","Tokyo, Japan",1500-3000 USD,Rainy,September,11309.86,Male,Hotel,['Japanese'],Friends
Singapore,"Rio de Janeiro, Brazil",500-800 USD,Rainy,April,15722.12,Female,Hotel,['Portuguese'],Couple
"Toronto, Canada","Istanbul, Turkey",800-1500 USD,Cold,January,8191.15,Female,GuestHouse,['Turkish'],Couple
"Barcelona, Spain","Toronto, Canada",1500-3000 USD,Snowy,January,6400.54,Male,Hotel,"['English', 'French']",Couple
"Toronto, Canada","Rio de Janeiro, Brazil",500-800 USD,Sunny,December,8270.12,Male,Airbnb,['Portuguese'],Friends
"Paris, France","Hanoi, Vietnam",500-800 USD,Humid,July,9197.28,Male,GuestHouse,['Vietnamese'],Friends
"Lisbon, Portugal","Budapest, Hungary",800-1500 USD,Cold,January,2469.44,Female,Hotel,['Hungarian'],Friends
"Cape Town, South Africa","Nairobi, Kenya",800-1500 USD,Rainy,April,4102.81,Male,Hotel,"['Swahili', 'English']",Solo
"Istanbul, Turkey","Toronto, Canada",1500-3000 USD,Sunny,August,8191.15,Male,Airbnb,"['English', 'French']",Couple
"Amsterdam, Netherlands","Sydney, Australia",1500-3000 USD,Cloudy,June,16642.9,Female,Airbnb,['English'],Friends
"Bangkok, Thailand","Lisbon, Portugal",800-1500 USD,Cloudy,February,10683.95,Male,GuestHouse,['Portuguese'],Family
"Kuala Lumpur, Malaysia","Barcelona, Spain",1500-3000 USD,Rainy,November,10566.48,Male,Airbnb,"['Spanish', 'Catalan']",Family
"New York, USA","London, UK",1500-3000 USD,Cloudy,November,5570.22,Male,Airbnb,['English'],Colleagues
"New York, USA","Buenos Aires, Argentina",800-1500 USD,Cold,July,8526.19,Male,Airbnb,['Spanish'],Family
"Santiago, Chile","Moscow, Russia",800-1500 USD,Cold,January,14130.93,Male,Airbnb,['Russian'],Couple
"Budapest, Hungary","London, UK",1500-3000 USD,Rainy,April,1449.24,Female,Hotel,['English'],Couple
"Amsterdam, Netherlands","Bangkok, Thailand",500-800 USD,Rainy,October,9173.96,Female,Airbnb,"['Thai', 'English']",Solo
"Dubai, UAE","Rome, Italy",1500-3000 USD,Rainy,November,4317.89,Female,Airbnb,['Italian'],Friends
"Vienna, Austria","Mumbai, India",800-1500 USD,Sunny,February,5977.12,Male,Hotel,"['Hindi', 'English']",Couple
"Dubai, UAE","Los Angeles, USA",1500-3000 USD,Cloudy,April,13382.8,Female,GuestHouse,"['English', 'Spanish']",Couple
"London, UK","Amsterdam, Netherlands",1500-3000 USD,Sunny,June,357.89,Male,GuestHouse,"['Dutch', 'English']",Solo
"Toronto, Canada","Tokyo, Japan",1500-3000 USD,Humid,August,10353.22,Male,Airbnb,['Japanese'],Friends
"Bangkok, Thailand","New York, USA",1500-3000 USD,Sunny,July,13931.98,Male,Hotel,"['English', 'Spanish']",Family
"Tokyo, Japan","Mexico City, Mexico",800-1500 USD,Rainy,August,11309.86,Male,GuestHouse,['Spanish'],Friends
"Sydney, Australia","Paris, France",1500-3000 USD,Rainy,April,16960.5,Female,Airbnb,['French'],Couple
"Kuala Lumpur, Malaysia","London, UK",1500-3000 USD,Sunny,July,10545.82,Female,Hotel,['English'],Couple
"Mexico City, Mexico","Hanoi, Vietnam",500-800 USD,Sunny,March,14758.15,Male,Airbnb,['Vietnamese'],Friends
"Istanbul, Turkey","Paris, France",1500-3000 USD,Rainy,March,2255.6,Female,GuestHouse,['French'],Friends
"Seoul, South Korea",Singapore,1500-3000 USD,Rainy,November,4671.94,Female,GuestHouse,"['English', 'Mandarin']",Couple
"Barcelona, Spain","London, UK",1500-3000 USD,Cloudy,November,1139.12,Male,Airbnb,['English'],Colleagues
"Hanoi, Vietnam","Buenos Aires, Argentina",800-1500 USD,Rainy,February,17856.82,Male,GuestHouse,['Spanish'],Couple
"Budapest, Hungary","Nairobi, Kenya",800-1500 USD,Sunny,January,5692.85,Male,Airbnb,"['Swahili', 'English']",Solo
"Dubai, UAE","Los Angeles, USA",1500-3000 USD,Rainy,January,13382.8,Female,GuestHouse,"['English', 'Spanish']",Solo
"Cape Town, South Africa","Toronto, Canada",1500-3000 USD,Rainy,May,13099.02,Male,Airbnb,"['English', 'French']",Family
"Lisbon, Portugal","Santiago, Chile",800-1500 USD,Sunny,December,10227.26,Male,GuestHouse,['Spanish'],Friends
"Moscow, Russia","Buenos Aires, Argentina",800-1500 USD,Rainy,February,13475.55,Male,Hotel,['Spanish'],Family
"Moscow, Russia","Santiago, Chile",800-1500 USD,Sunny,January,14130.93,Female,Hotel,['Spanish'],Friends
"Cape Town, South Africa","Budapest, Hungary",800-1500 USD,Rainy,May,9054.01,Male,Hotel,['Hungarian'],Family
"Mumbai, India","Istanbul, Turkey",800-1500 USD,Cold,February,4809.5,Female,GuestHouse,['Turkish'],Friends
"Vienna, Austria","Rome, Italy",1500-3000 USD,Rainy,November,764.17,Female,Airbnb,['Italian'],Friends
"Buenos Aires, Argentina","Los Angeles, USA",1500-3000 USD,Cloudy,April,9852.02,Male,Hotel,"['English', 'Spanish']",Solo
"Mexico City, Mexico","Cape Town, South Africa",800-1500 USD,Windy,October,13700.2,Female,GuestHouse,"['English', 'Afrikaans', 'Xhosa']",Solo
"Mexico City, Mexico","Toronto, Canada",1500-3000 USD,Sunny,August,3262.75,Female,GuestHouse,"['English', 'French']",Family
"Tokyo, Japan","Paris, France",1500-3000 USD,Cloudy,December,9711.72,Male,GuestHouse,['French'],Family
"Mumbai, India","Vienna, Austria",1500-3000 USD,Cold,January,5977.12,Male,GuestHouse,['German'],Couple
"Sydney, Australia","Barcelona, Spain",1500-3000 USD,Sunny,June,17180.25,Male,GuestHouse,"['Spanish', 'Catalan']",Solo
"Moscow, Russia","Bangkok, Thailand",500-800 USD,Rainy,October,7064.46,Female,GuestHouse,"['Thai', 'English']",Solo
"Dubai, UAE","Rio de Janeiro, Brazil",500-800 USD,Sunny,December,11874.57,Male,GuestHouse,['Portuguese'],Friends
"Paris, France","Santiago, Chile",800-1500 USD,Sunny,December,11648.82,Male,GuestHouse,['Spanish'],Couple
"Mexico City, Mexico","Santiago, Chile",800-1500 USD,Rainy,April,6610.1,Female,Hotel,['Spanish'],Couple
"Cairo, Egypt","Rio de Janeiro, Brazil",500-800 USD,Rainy,April,9883.71,Female,Hotel,['Portuguese'],Solo
"Paris, France","Hanoi, Vietnam",500-800 USD,Rainy,June,9197.28,Female,Hotel,['Vietnamese'],Family
"London, UK","Lisbon, Portugal",800-1500 USD,Cloudy,February,1584.99,Male,GuestHouse,['Portuguese'],Family
"Santiago, Chile","Bangkok, Thailand",500-800 USD,Sunny,November,17650.5,Male,Airbnb,"['Thai', 'English']",Solo
"Barcelona, Spain","Toronto, Canada",1500-3000 USD,Rainy,April,6400.54,Female,Hotel,"['English', 'French']",Family
"Bangkok, Thailand","Amsterdam, Netherlands",1500-3000 USD,Cloudy,October,9173.96,Female,GuestHouse,"['Dutch', 'English']",Solo
"Barcelona, Spain",Singapore,1500-3000 USD,Humid,April,10875.52,Male,GuestHouse,"['English', 'Mandarin']",Colleagues
"Vienna, Austria","London, UK",1500-3000 USD,Sunny,July,1235.41,Female,Hotel,['English'],Couple
"Buenos Aires, Argentina","Nairobi, Kenya",800-1500 USD,Sunny,December,10401.61,Female,Hotel,"['Swahili', 'English']",Friends
"London, UK","Rio de Janeiro, Brazil",500-800 USD,Sunny,December,9277.42,Female,Hotel,['Portuguese'],Couple
"Buenos Aires, Argentina","Nairobi, Kenya",800-1500 USD,Sunny,December,10401.61,Male,GuestHouse,"['Swahili', 'English']",Couple
"Kuala Lumpur, Malaysia","Sydney, Australia",1500-3000 USD,Sunny,February,6615.09,Male,GuestHouse,['English'],Friends
"Rome, Italy","Dubai, UAE",1500-3000 USD,Sunny,November,4317.89,Male,GuestHouse,"['Arabic', 'English']",Couple
"Bangkok, Thailand","Sydney, Australia",1500-3000 USD,Rainy,March,7536.41,Female,Airbnb,['English'],Friends
"Rome, Italy","Istanbul, Turkey",800-1500 USD,Rainy,November,1375.04,Female,Hotel,['Turkish'],Friends
"London, UK","Berlin, Germany",1500-3000 USD,Rainy,May,931.57,Male,Hotel,"['German', 'English']",Couple
Singapore,"Paris, France",1500-3000 USD,Cloudy,November,10729.02,Male,Hotel,['French'],Solo
"Sydney, Australia","Lisbon, Portugal",800-1500 USD,Rainy,October,18177.32,Male,Airbnb,['Portuguese'],Family
"Buenos Aires, Argentina","Sydney, Australia",1500-3000 USD,Rainy,April,11801.07,Male,GuestHouse,['English'],Family
"Rome, Italy","Berlin, Germany",1500-3000 USD,Rainy,April,1182.55,Male,Airbnb,"['German', 'English']",Friends
"Kuala Lumpur, Malaysia","Istanbul, Turkey",800-1500 USD,Cold,February,8332.55,Female,Airbnb,['Turkish'],Friends
"Rome, Italy","Dubai, UAE",1500-3000 USD,Hot,July,4317.89,Female,Hotel,"['Arabic', 'English']",Couple
"Seoul, South Korea","Toronto, Canada",1500-3000 USD,Snowy,January,10602.22,Female,Airbnb,"['English', 'French']",Couple
"Rome, Italy","Toronto, Canada",1500-3000 USD,Sunny,August,7078.77,Female,GuestHouse,"['English', 'French']",Couple
"Lisbon, Portugal","Kuala Lumpur, Malaysia",800-1500 USD,Rainy,September,11569.47,Male,Airbnb,"['Malay', 'English']",Couple
"Hanoi, Vietnam","Dubai, UAE",1500-3000 USD,Hot,July,5161.1,Male,Airbnb,"['Arabic', 'English']",Couple
"Amsterdam, Netherlands","Istanbul, Turkey",800-1500 USD,Rainy,December,2211.95,Male,GuestHouse,['Turkish'],Couple
"Nairobi, Kenya","Bangkok, Thailand",500-800 USD,Rainy,October,7209.87,Male,GuestHouse,"['Thai', 'English']",Couple
"New York, USA","Budapest, Hungary",800-1500 USD,Rainy,April,7007.56,Female,Airbnb,['Hungarian'],Friends
"Vienna, Austria","Kuala Lumpur, Malaysia",800-1500 USD,Rainy,September,9400.11,Female,Airbnb,"['Malay', 'English']",Couple
"Kuala Lumpur, Malaysia","Rome, Italy",1500-3000 USD,Sunny,June,9707.54,Male,Airbnb,['Italian'],Couple
"Los Angeles, USA","Paris, France",1500-3000 USD,Cloudy,November,9085.51,Male,Hotel,['French'],Solo
"Dubai, UAE","Kuala Lumpur, Malaysia",800-1500 USD,Rainy,September,5531.78,Female,GuestHouse,"['Malay', 'English']",Couple
"Toronto, Canada","Istanbul, Turkey",800-1500 USD,Cold,February,8191.15,Female,Airbnb,['Turkish'],Couple
"Vienna, Austria","Los Angeles, USA",1500-3000 USD,Sunny,July,9818.52,Male,Airbnb,"['English', 'Spanish']",Couple
"Kuala Lumpur, Malaysia","Rome, Italy",1500-3000 USD,Snowy,January,9707.54,Female,Airbnb,['Italian'],Friends
"Tokyo, Japan","Hanoi, Vietnam",500-800 USD,Rainy,June,3661.18,Female,Hotel,['Vietnamese'],Family
"Paris, France","Buenos Aires, Argentina",800-1500 USD,Sunny,January,11050.12,Male,GuestHouse,['Spanish'],Couple
"Amsterdam, Netherlands","Budapest, Hungary",800-1500 USD,Cold,January,1144.83,Male,Airbnb,['Hungarian'],Friends
"Buenos Aires, Argentina","Berlin, Germany",1500-3000 USD,Snowy,December,11909.52,Male,GuestHouse,"['German', 'English']",Solo
"Barcelona, Spain","Rome, Italy",1500-3000 USD,Sunny,August,859.19,Male,Airbnb,['Italian'],Friends
"Dubai, UAE","Cairo, Egypt",500-800 USD,Hot,August,2423.28,Female,GuestHouse,"['Arabic', 'English']",Family
"Tokyo, Japan","Cape Town, South Africa",800-1500 USD,Sunny,January,14727.59,Female,GuestHouse,"['English', 'Afrikaans', 'Xhosa']",Family
Singapore,"Los Angeles, USA",1500-3000 USD,Cloudy,April,14120.98,Male,Airbnb,"['English', 'Spanish']",Solo
"Cairo, Egypt","Hanoi, Vietnam",500-800 USD,Humid,July,7427.62,Male,GuestHouse,['Vietnamese'],Family
"Sydney, Australia","Mexico City, Mexico",800-1500 USD,Sunny,April,12972.85,Female,Hotel,['Spanish'],Solo
"Rio de Janeiro, Brazil","Mumbai, India",800-1500 USD,Dry,October,13413.71,Female,GuestHouse,"['Hindi', 'English']",Friends
"Seoul, South Korea","Berlin, Germany",1500-3000 USD,Rainy,April,8126.78,Female,Airbnb,"['German', 'English']",Couple
"Hanoi, Vietnam","Rio de Janeiro, Brazil",500-800 USD,Rainy,March,16820.07,Male,Hotel,['Portuguese'],Friends
"Rome, Italy","Hanoi, Vietnam",500-800 USD,Humid,July,8731.43,Male,Hotel,['Vietnamese'],Family
"Paris, France","Hanoi, Vietnam",500-800 USD,Sunny,March,9197.28,Male,Hotel,['Vietnamese'],Friends
"Seoul, South Korea","Nairobi, Kenya",800-1500 USD,Rainy,April,10108.92,Female,GuestHouse,"['Swahili', 'English']",Friends
"Vienna, Austria","Kuala Lumpur, Malaysia",800-1500 USD,Rainy,September,9400.11,Female,GuestHouse,"['Malay', 'English']",Solo
"Lisbon, Portugal","Cairo, Egypt",500-800 USD,Windy,April,3795.89,Male,GuestHouse,"['Arabic', 'English']",Family
"Vienna, Austria","Buenos Aires, Argentina",800-1500 USD,Sunny,January,11810.13,Male,Hotel,['Spanish'],Friends
"Amsterdam, Netherlands","Cape Town, South Africa",800-1500 USD,Windy,October,9684.89,Male,Airbnb,"['English', 'Afrikaans', 'Xhosa']",Family
"Moscow, Russia","Paris, France",1500-3000 USD,Rainy,April,2486.25,Female,GuestHouse,['French'],Friends
"Buenos Aires, Argentina","Berlin, Germany",1500-3000 USD,Sunny,July,11909.52,Female,GuestHouse,"['German', 'English']",Solo
"Seoul, South Korea","Dubai, UAE",1500-3000 USD,Hot,July,6777.11,Female,Airbnb,"['Arabic', 'English']",Colleagues
"Budapest, Hungary","Amsterdam, Netherlands",1500-3000 USD,Sunny,May,1144.83,Female,Hotel,"['Dutch', 'English']",Friends
"Amsterdam, Netherlands","Los Angeles, USA",1500-3000 USD,Cloudy,April,8939.71,Female,Hotel,"['English', 'Spanish']",Couple
"Bangkok, Thailand","Hanoi, Vietnam",500-800 USD,Humid,August,987.86,Male,Airbnb,['Vietnamese'],Family
"London, UK","Santiago, Chile",800-1500 USD,Sunny,December,11672.78,Female,GuestHouse,['Spanish'],Family
"Moscow, Russia","Sydney, Australia",1500-3000 USD,Rainy,March,14496.16,Female,GuestHouse,['English'],Couple
"New York, USA","Paris, France",1500-3000 USD,Cloudy,November,5837.24,Female,Airbnb,['French'],Solo
"Istanbul, Turkey","Paris, France",1500-3000 USD,Sunny,August,2255.6,Male,GuestHouse,['French'],Friends
"Amsterdam, Netherlands","Sydney, Australia",1500-3000 USD,Rainy,April,16642.9,Male,Hotel,['English'],Friends
"Berlin, Germany","Santiago, Chile",800-1500 USD,Sunny,December,12525.36,Female,GuestHouse,['Spanish'],Family
"Sydney, Australia","Bangkok, Thailand",500-800 USD,Sunny,November,7536.41,Female,Airbnb,"['Thai', 'English']",Couple
"Rio de Janeiro, Brazil","Barcelona, Spain",1500-3000 USD,Cloudy,April,8539.44,Male,Hotel,"['Spanish', 'Catalan']",Family
"Dubai, UAE","Nairobi, Kenya",800-1500 USD,Rainy,May,3560.88,Female,GuestHouse,"['Swahili', 'English']",Friends
"Dubai, UAE","London, UK",1500-3000 USD,Sunny,July,5469.25,Female,Hotel,['English'],Couple
"Hanoi, Vietnam","Cairo, Egypt",500-800 USD,Windy,April,7427.62,Female,Hotel,"['Arabic', 'English']",Couple
"Kuala Lumpur, Malaysia","Toronto, Canada",1500-3000 USD,Rainy,April,14811.25,Male,Hotel,"['English', 'French']",Couple
"Istanbul, Turkey","Mumbai, India",800-1500 USD,Humid,June,4809.5,Female,Airbnb,"['Hindi', 'English']",Couple
"New York, USA","Moscow, Russia",800-1500 USD,Sunny,June,7510.26,Female,Airbnb,['Russian'],Colleagues
"Lisbon, Portugal","Hanoi, Vietnam",500-800 USD,Rainy,June,10538.36,Male,Hotel,['Vietnamese'],Family
"London, UK","Berlin, Germany",1500-3000 USD,Rainy,May,931.57,Female,Hotel,"['German', 'English']",Friends
"Seoul, South Korea","Hanoi, Vietnam",500-800 USD,Sunny,March,2740.3,Male,Airbnb,['Vietnamese'],Family
"Buenos Aires, Argentina","Lisbon, Portugal",800-1500 USD,Sunny,July,9599.5,Male,Airbnb,['Portuguese'],Family
"Lisbon, Portugal","New York, USA",1500-3000 USD,Cloudy,November,5422.03,Male,GuestHouse,"['English', 'Spanish']",Colleagues
"Toronto, Canada","Cairo, Egypt",500-800 USD,Sunny,October,9206.51,Male,Hotel,"['Arabic', 'English']",Friends
"Hanoi, Vietnam","Rio de Janeiro, Brazil",500-800 USD,Rainy,April,16820.07,Male,Airbnb,['Portuguese'],Couple
"Budapest, Hungary",Singapore,1500-3000 USD,Rainy,December,9504.66,Female,Hotel,"['English', 'Mandarin']",Colleagues
"Tokyo, Japan","Rome, Italy",1500-3000 USD,Sunny,August,9852.38,Female,Airbnb,['Italian'],Couple
"Sydney, Australia","Cairo, Egypt",500-800 USD,Windy,April,14416.54,Male,Hotel,"['Arabic', 'English']",Couple
"Vienna, Austria","Budapest, Hungary",800-1500 USD,Rainy,May,214.04,Female,Hotel,['Hungarian'],Couple
"New York, USA","Cape Town, South Africa",800-1500 USD,Rainy,July,12564.83,Female,Airbnb,"['English', 'Afrikaans', 'Xhosa']",Couple
"Tokyo, Japan","Hanoi, Vietnam",500-800 USD,Sunny,March,3661.18,Male,Airbnb,['Vietnamese'],Couple
"Dubai, UAE","Mexico City, Mexico",800-1500 USD,Rainy,August,14326.45,Female,GuestHouse,['Spanish'],Friends
"London, UK","Santiago, Chile",800-1500 USD,Rainy,April,11672.78,Female,GuestHouse,['Spanish'],Family
"Santiago, Chile","Buenos Aires, Argentina",800-1500 USD,Cold,July,1138.92,Female,Hotel,['Spanish'],Family
"Paris, France","Barcelona, Spain",1500-3000 USD,Rainy,November,830.91,Male,GuestHouse,"['Spanish', 'Catalan']",Couple
"Sydney, Australia","Rome, Italy",1500-3000 USD,Sunny,August,16321.06,Male,GuestHouse,['Italian'],Couple
"Los Angeles, USA","Dubai, UAE",1500-3000 USD,Rainy,December,13382.8,Female,Airbnb,"['Arabic', 'English']",Colleagues
"Bangkok, Thailand","Santiago, Chile",800-1500 USD,Rainy,April,17650.5,Male,Hotel,['Spanish'],Friends
"Hanoi, Vietnam","Nairobi, Kenya",800-1500 USD,Rainy,May,7893.29,Male,Hotel,"['Swahili', 'English']",Solo
"Rome, Italy","London, UK",1500-3000 USD,Rainy,April,1433.78,Male,Hotel,['English'],Couple
"Mumbai, India","Budapest, Hungary",800-1500 USD,Cold,January,5765.44,Female,GuestHouse,['Hungarian'],Friends
"Los Angeles, USA","Mexico City, Mexico",800-1500 USD,Sunny,March,2490.48,Male,GuestHouse,['Spanish'],Friends
"Barcelona, Spain","Buenos Aires, Argentina",800-1500 USD,Rainy,February,10465.77,Female,GuestHouse,['Spanish'],Family
"Santiago, Chile","Cairo, Egypt",500-800 USD,Sunny,October,12803.91,Male,Airbnb,"['Arabic', 'English']",Couple
"Istanbul, Turkey","Sydney, Australia",1500-3000 USD,Rainy,March,14946.24,Male,GuestHouse,['English'],Family
"Seoul, South Korea","Cairo, Egypt",500-800 USD,Hot,August,8485.75,Male,Airbnb,"['Arabic', 'English']",Family
"Istanbul, Turkey","Mumbai, India",800-1500 USD,Dry,October,4809.5,Male,GuestHouse,"['Hindi', 'English']",Friends
"Seoul, South Korea","Nairobi, Kenya",800-1500 USD,Sunny,December,10108.92,Male,Hotel,"['Swahili', 'English']",Solo
